Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	Tot Cases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent	Date
Chad	7415		193.0		4874.0		2348.0		428.0	11.0	191341.0	11051.0	17314897.0	Africa	2022-05-22
St. Vincent Grenadines	6848	5.0	106.0		6641.0		101.0		61359.0	950.0	99409.0	890722.0	111605.0	North America	2022-05-22
British Virgin Islands	6690		62.0					1.0	218549.0	2025.0	103895.0	3394041.0	30611.0	North America	2022-05-22
Turks and Caicos	6097		36.0		6026.0		35.0	4.0	153557.0	907.0	512050.0	12896361.0	39705.0	North America	2022-05-22
Sao Tome and Principe	5973		73.0		5897.0		3.0		26332.0	322.0	29036.0	128004.0	226837.0	Africa	2022-05-22
Saint Kitts and Nevis	5669		43.0		5570.0		56.0		105159.0	798.0	70707.0	1311599.0	53909.0	North America	2022-05-22
Cook Islands	5543		1.0		5433.0		109.0		315051.0	57.0	18004.0	1023303.0	17594.0	Australia/Oceania	2022-05-22
Palau	4967		6.0		4240.0		721.0	1.0	272060.0	329.0	51089.0	2798324.0	18257.0	Australia/Oceania	2022-05-22
St. Barth	4611		6.0						464163.0	604.0	78646.0	7916851.0	9934.0	North America	2022-05-22
Anguilla	3116		9.0		3042.0		65.0	4.0	204248.0	590.0	51382.0	3367986.0	15256.0	North America	2022-05-22
Kiribati	3098		13.0		2602.0		483.0	3.0	25206.0	106.0			122907.0	Australia/Oceania	2022-05-22
Saint Pierre Miquelon	2748		1.0		2449.0		298.0	1.0	478662.0	174.0	23787.0	4143355.0	5741.0	North America	2022-05-22
Falkland Islands	1512								411877.0		8632.0	2351403.0	3671.0	South America	2022-05-22
Montserrat	915		4.0		749.0		162.0		183073.0	800.0	12010.0	2402961.0	4998.0	North America	2022-05-22
Diamond Princess	712		13.0		699.0		0.0								2022-05-22
Wallis and Futuna	454		7.0		438.0		9.0		41774.0	644.0	20508.0	1887008.0	10868.0	Australia/Oceania	2022-05-22
Macao	82				82.0		0.0		123.0		5375.0	8070.0	666037.0	Asia	2022-05-22
Vatican City	29				29.0		0.0		36025.0				805.0	Europe	2022-05-22
Marshall Islands	17				14.0		3.0		284.0				59944.0	Australia/Oceania	2022-05-22
Western Sahara	10		1.0		9.0		0.0		16.0	2.0			625043.0	Africa	2022-05-22
MS Zaandam	9		2.0		7.0		0.0								2022-05-22
Niue	9				9.0		0.0		5464.0				1647.0	Australia/Oceania	2022-05-22
Nauru	8				5.0		3.0		730.0				10952.0	Australia/Oceania	2022-05-22
Micronesia	7				1.0		6.0		60.0				117298.0	Australia/Oceania	2022-05-22
Saint Helena	2				2.0		0.0		327.0				6111.0	Africa	2022-05-22
